,AdaptiveMA2008,CryptoBB2008,DividendPaydate2008,DynamicBreakout2008,FOMC2008,HedgeVIX2008,LumberGold2008,MultiVar2008,OptionSkewness2008,OvernightMomentum2008,SectorRotation2008,SimpleEMA2008,SPY2008,TScrossSecMom2008,VolatilityRiskPremium2008
72,107231.705,100000.0,100000.0,98436.3163,100000.0,100000.0,95932.09,102339.279769002,100000.0,104567.29432247655,100000.0,100000.0,91590.392587616,97341.93676625524,103386.42
73,105044.865,100000.0,100000.0,98436.3163,100000.0,100000.0,98704.09,102107.274439384,100000.0,104277.7271984028,100000.0,100000.0,93443.971562752,98464.44761025556,105748.94
74,104851.805,100000.0,100000.0,98436.3163,100000.0,100000.0,98024.95,101911.901530232,100000.0,103095.86613931826,100000.0,100000.0,93614.965933152,97458.08740437898,105995.44
75,102936.995,100000.0,100000.0,98436.3163,100000.0,100000.0,99577.27,101838.6366893,100000.0,104463.59736335262,100000.0,100000.0,95311.23008752,97963.21687332755,107584.2
76,103085.24,100000.0,100000.0,98436.3163,100000.0,100000.0,99674.29,101850.847496122,100000.0,103659.07697955206,100000.0,100000.0,95188.114140832,100141.21671535268,107636.04
77,103882.28,100000.0,100000.0,98436.3163,100000.0,100000.0,97803.19,101789.793462012,100000.0,103739.12908772663,100000.0,100000.0,94442.578685888,101030.3072203526,107092.46
78,103662.21,100000.0,100000.0,98436.3163,100000.0,100000.0,98232.85,101838.6366893,100000.0,103210.43140250628,100000.0,100000.0,94640.932155552,100236.89981388845,107449.94
79,103045.57,100000.0,100000.0,98436.3163,100000.0,100000.0,99244.63,101545.577325572,100000.0,102147.97100391139,100000.0,100000.0,95194.953915648,96912.72335703646,108000.66
80,102312.99,100000.0,100000.0,98436.3163,100000.0,100000.0,99909.91,101569.998939216,100000.0,101646.68511323797,100000.0,100000.0,95858.4120728,97858.44534831822,108473.8
81,102406.54,100000.0,100000.0,98436.3163,100000.0,100000.0,100533.61,101667.685393792,100000.0,99497.26496020613,100000.0,100000.0,95762.655225376,96833.8641831281,108612.12
82,102800.74,100000.0,100000.0,98436.3163,100000.0,100000.0,99826.75,101655.47458697,100000.0,99557.84231771006,100000.0,100000.0,95386.467610496,94644.9719265139,108403.02
83,103266.695,100000.0,100000.0,98436.3163,100000.0,100000.0,99244.63,101765.371848368,100000.0,99130.67973166991,100000.0,100000.0,94948.722022272,96115.87769844141,108205.84
84,101399.01,100000.0,100000.0,98436.3163,100000.0,100000.0,101046.43,101633.237386735,100000.0,98227.5661279119,100000.0,100000.0,96658.665726272,92013.74800209282,109368.84
85,101059.935,100000.0,100000.0,98436.3163,100000.0,100000.0,100755.37,101471.407628887,100000.0,98039.09166492117,100000.0,100000.0,96939.096493728,92451.43505282309,109670.76
86,101503.135,100000.0,100000.0,98436.3163,100000.0,100000.0,100464.31,101532.416076292,100000.0,97896.89067296273,100000.0,100000.0,96508.19068032,94486.87253246857,109638.7
87,100679.365,100000.0,100000.0,98436.3163,100000.0,100000.0,100977.13,101605.626213178,100000.0,97727.12209908004,100000.0,100000.0,97281.085234528,95460.29138496457,109946.76
88,102484.16,100000.0,100000.0,98436.3163,100000.0,100000.0,99507.97,101800.853244874,100000.0,97487.8936183418,100000.0,100000.0,95530.102881632,96123.69065127165,109291.04
89,102078.225,100000.0,100000.0,98436.3163,100000.0,100000.0,99799.03,101886.265071241,100000.0,97509.7877520773,100000.0,100000.0,95913.130271328,97402.39080181085,109630.26
90,102739.6,100000.0,100000.0,98436.3163,100000.0,100000.0,100034.65,101898.466760722,100000.0,96762.54029146212,100000.0,100000.0,95290.710763072,98006.10904974384,109479.34
91,101600.085,100000.0,100000.0,98436.3163,100000.0,100000.0,101559.25,101764.248176431,100000.0,96311.23750468463,100000.0,100000.0,96344.036084736,97792.80686896433,110033.32
92,101637.665,100000.0,100000.0,98436.3163,100000.0,100000.0,102030.49,101495.811007849,100000.0,95829.66901351583,100000.0,100000.0,96296.157661024,98763.72056654669,110088.48
93,101226.695,100000.0,100000.0,98436.3163,100000.0,100000.0,102030.49,101434.802560444,100000.0,95817.6857444729,100000.0,100000.0,96679.18505072,97224.38541116324,110196.7
94,100080.67,100000.0,100000.0,98436.3163,100000.0,100000.0,103056.13,101593.424523697,100000.0,95986.752037513,100000.0,100000.0,97766.709246464,98239.36605727009,110365.28
95,99998.63,100000.0,100000.0,98436.3163,100000.0,100000.0,102820.51,101605.626213178,100000.0,95996.27751495465,100000.0,100000.0,97835.106994624,99662.35841733734,110367.98
96,99865.63,100000.0,100000.0,98436.3163,100000.0,100000.0,102321.55,101703.239729026,100000.0,96094.70489622995,100000.0,100000.0,97958.222941312,99187.03937849318,110376.28
97,100698.63,100000.0,100000.0,98436.3163,100000.0,100000.0,102266.11,101849.660002798,100000.0,96086.56818943076,100000.0,100000.0,97137.449963392,100870.96914125522,109799.48
98,102338.085,100000.0,100000.0,98436.3163,100000.0,100000.0,100977.13,101739.844797469,100000.0,96092.2300870072,100000.0,100000.0,95550.62220608,100778.17680813064,107607.08
99,102143.32,100000.0,100000.0,98436.3163,100000.0,100000.0,101711.71,101459.205939406,100000.0,95712.4867214995,100000.0,100000.0,95728.456351296,100050.16729027579,108139.78
100,103387.72,100000.0,100000.0,98436.3163,100000.0,100000.0,100602.91,101703.239729026,100000.0,94749.05826042357,100000.0,100000.0,94558.85485776,100718.67957880307,106070.58
101,102721.12,100000.0,100000.0,98436.3163,100000.0,100000.0,101905.75,101520.214386811,100000.0,94153.43352437302,100000.0,100000.0,95160.755041568,100279.45966205158,107224.18
102,102244.35,100000.0,100000.0,98436.3163,100000.0,100000.0,102432.43,101349.390734077,100000.0,93643.07706200832,100000.0,100000.0,95591.660854976,101731.9840002076,107947.28
103,101756.225,100000.0,100000.0,98436.3163,100000.0,100000.0,103388.77,101312.785665634,100000.0,93066.02433379737,100000.0,100000.0,96043.085992832,99888.59673008176,108861.48
104,101695.19,100000.0,100000.0,98436.3163,100000.0,100000.0,103610.53,101471.407628887,100000.0,93323.05931607884,100000.0,100000.0,96090.964416544,100371.24679602087,108635.38
105,102607.43,100000.0,100000.0,98436.3163,100000.0,100000.0,102931.39,101670.457480146,100000.0,92595.51066578292,100000.0,100000.0,95222.313014912,101000.84742355213,107398.48
106,103210.965,100000.0,100000.0,98436.3163,100000.0,100000.0,102529.45,101802.442095482,100000.0,92955.96213968923,100000.0,100000.0,94661.45148,100499.36960544142,106361.08
107,103179.445,100000.0,100000.0,98436.3163,100000.0,100000.0,103291.75,101765.738441648,100000.0,92279.78932471,100000.0,100000.0,94681.970804448,99501.37555117004,106377.18
108,101234.995,100000.0,100000.0,98436.3163,100000.0,100000.0,105869.71,101631.15837759,100000.0,91491.59024705547,100000.0,100000.0,96460.312256608,101771.22127144181,109887.68
109,104314.98,100000.0,100000.0,98436.3163,100000.0,100000.0,102807.75,101777.972992926,100000.0,91339.3985386059,100000.0,100000.0,93546.568184992,104107.07279103296,104321.98
110,104145.82,100000.0,100000.0,98436.3163,100000.0,100000.0,102178.11,101251.887287972,100000.0,91719.69374964933,100000.0,100000.0,93710.722780576,106095.37524353324,104807.78
111,104503.96,100000.0,100000.0,98436.3163,100000.0,100000.0,101490.17,101019.43081369,100000.0,90794.80911607666,100000.0,100000.0,93382.413589408,104770.58911775054,104112.68
112,106165.12,100000.0,100000.0,98436.3163,100000.0,100000.0,101688.39,101202.94908286,100000.0,90617.86702615628,100000.0,100000.0,91884.502904704,106302.5195055559,101141.88
113,105780.56,100000.0,100000.0,98436.3163,100000.0,100000.0,100767.25,100701.332480462,100000.0,91034.598316124,100000.0,100000.0,92226.491645504,104862.24960036961,101831.38
114,104239.51,100000.0,100000.0,98436.3163,100000.0,100000.0,100534.05,100823.677993242,100000.0,89157.31331302447,100000.0,100000.0,93560.247734624,104283.35743109629,104599.88
115,104258.76,100000.0,100000.0,98436.3163,100000.0,100000.0,100557.37,100872.616198354,100000.0,88677.9686481938,100000.0,100000.0,93553.407959808,104891.85096830907,104564.18
116,104929.32,100000.0,100000.0,98436.3163,100000.0,100000.0,100895.51,101068.369018802,100000.0,88226.12213871062,100000.0,100000.0,92944.668001184,106710.67756299832,103651.38
117,105824.61,100000.0,100000.0,98436.3163,100000.0,100000.0,101420.21,101166.245429026,100000.0,88074.03344254132,100000.0,100000.0,92137.574572896,107717.9628005565,101955.28
118,105508.465,100000.0,100000.0,98436.3163,100000.0,100000.0,100848.87,100994.961711134,100000.0,88015.61333055672,100000.0,100000.0,92404.32579072,106739.7466471606,103513.48
119,107949.815,100000.0,100000.0,98436.3163,100000.0,100000.0,101326.93,101154.010877748,100000.0,87274.04685147546,100000.0,100000.0,90719.5302,107447.24526690828,98892.08
