,AdaptiveMA2020,Crypto2020,CryptoBB2020,DividendPaydate2020,DynamicBreakout2020,FOMC2020,HedgeVIX2020,LumberGold2020,MultiVar2020,OptionSkewness2020,OvernightMomentum2020,SectorRotation2020,SimpleEMA2020,SMAPairs2020,SPY2020,TScrossSecMom2020,VolatilityRiskPremium2020
0,100000.0,101261.03742025624,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,99898.05,100000.0,100000.0,100000.0
1,100398.08808952,98653.60004668024,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100155.255,100398.08808952,100000.0,100000.0
2,99630.215655856,105249.79578340524,100000.0,100000.0,100000.0,100000.0,100000.0,99995.195,100017.313781056,100000.0,100000.0,100000.0,100000.0,100112.99,99635.79684904,100414.75752449999,100000.0
3,100005.77130264,112148.64050099177,99996.5410222623,100000.0,100000.0,100000.0,100000.0,99887.83340618,99981.983109472,100000.0,100000.0,100000.0,100000.0,100075.95,100016.94246928,100234.2625245,100000.0
4,99722.214523312,111287.25494007824,99228.6479644929,100000.0,100000.0,100000.0,100000.0,99744.68461442,99981.983109472,100000.0,100000.0,100000.0,100000.0,100229.54,99734.9566852,100284.2875245,100000.0
5,100248.688435888,109393.75875212424,97540.6668284953,100000.0,100000.0,100000.0,100000.0,99512.06782781,99934.87554736,100000.0,100000.0,100000.0,100000.0,100199.51,100267.94080456,101527.4675245,100000.0
6,100923.000649648,107120.01128052376,95513.7058742031,100000.0,100000.0,100000.0,100000.0,99583.64222369,99946.652437888,100000.0,100000.0,100000.0,100000.0,99919.29,100949.66467816,102435.5275245,100000.0
7,100630.203976496,113983.934961857,101632.6374921944,100000.0,100000.0,100000.0,100000.0,99798.36541133,99970.206218944,100000.0,100000.0,100000.0,100000.0,99575.475,100658.38265944,102612.1075245,100000.0
8,101316.836048688,111620.94484205377,99526.1200499351,100000.0,100000.0,100000.0,100000.0,99682.057018025,99958.429328416,100000.0,100000.0,100000.0,100000.0,99374.06,101352.50151256,103316.9025245,100000.0
9,101159.557818288,128899.097557134,114928.9479159132,100000.0,100000.0,100000.0,100000.0,99878.886606695,99970.206218944,100000.0,100000.0,100000.0,100000.0,99225.445,101197.56426856,102182.3475245,100000.0
10,101384.19519928,129275.46872564124,115264.4687564701,100000.0,100000.0,100000.0,100000.0,100129.396992275,100017.313781056,100000.0,100000.0,100000.0,100000.0,99029.65,101426.87138968,102360.10752450001,100000.0
11,102221.745537264,127513.89645242176,113694.0928635543,100000.0,100000.0,100000.0,100070.736072604,99923.62060412,100017.313781056,100000.0,100000.0,100000.0,100000.0,98650.74,102272.82874192,103138.9375245,100000.0
12,102535.701891888,129562.59724594576,115520.4331090599,100000.0,100000.0,100000.0,100114.754906953,99843.099408755,100052.64445264,100000.0,100000.0,100000.0,100000.0,98598.05,102591.99946456,103937.6775245,99950.875
13,102332.224192368,131541.45596696323,117284.5117552869,100000.0,100000.0,100000.0,100224.689166787,100236.758586095,100076.198233696,100000.0,100000.0,100000.0,100000.0,98384.31,102390.58104736,103984.7475245,99791.225
14,102341.2640508,130369.66119490976,116239.9004785015,100000.0,100000.0,100000.0,100346.663093932,100254.652185065,100093.863569488,100665.325,100000.0,100000.0,100000.0,98579.03,102402.97602688,104420.0825245,99800.265
15,102455.022705904,126287.78006841875,112601.0558984411,100000.0,100000.0,100000.0,99890.761914866,100505.162570645,100135.082686336,98740.855,100000.0,100000.0,100000.0,98772.52,102520.72833232,104753.5975245,99895.145
16,101543.153146544,130198.93612878276,116087.7054580427,100000.0,100000.0,100000.0,99284.550584106,100855.024550045,100170.41335792,98423.91,100000.0,100000.0,100000.0,98745.265,101606.59859272,105231.24752450001,99152.695
17,99916.731798128,131979.9089776985,117675.376239647,100000.0,100000.0,100000.0,99829.507431996,99711.850353201,100276.405372672,98940.915,100000.0,100000.0,100000.0,99161.92,99973.56004096,104796.7575245,97654.925
18,100957.55980024,136764.09094439377,121940.2957902311,100000.0,100000.0,99384.59,99960.431738886,100538.827431769,100229.29781056,98443.48,100000.0,100000.0,100000.0,99405.69,101024.03455528,107015.6575245,98652.815
19,100871.120755824,134816.27314449023,120203.8889659057,100000.0,100000.0,99384.59,100062.999347796,99967.240333347,100323.512934784,98217.1855,100000.0,100000.0,100000.0,98268.8,100940.36844352,108657.90252450001,98601.545
20,101194.317004272,143437.88898390377,127889.7374990751,100000.0,100000.0,99384.59,99211.036077456,99967.240333347,100335.289825312,104678.425,100000.0,100000.0,100000.0,98677.05,101268.8354008,108315.2675245,98971.605
21,99358.458062512,146340.21510806275,130477.0528468747,100000.0,100000.0,99384.59,99628.206938856,97899.797636927,100464.83562112,105487.325,100000.0,100000.0,100000.0,98590.045,99425.0821972,107461.1525245,97105.655
22,100091.289603824,147240.40182036877,131279.5356820211,100000.0,100000.0,99384.59,100365.786839436,98988.245409454,100435.19602048,107049.847,100000.0,100000.0,100000.0,99072.705,100165.68222352,107438.45252450001,97933.045
23,101609.512120176,146332.45487778424,130470.1348913993,100000.0,100000.0,99384.59,100791.641743896,100478.020293639,100316.555795296,107106.825,99966.3749454912,100000.0,100000.0,98603.0,101696.46219424,107808.22245999999,99457.485
24,102776.618671216,147791.37817014224,131770.7105207745,100000.0,100000.0,99384.59,101041.003790136,102022.521602141,100245.78231184,106568.52,100255.8949502454,100000.0,100000.0,99120.715,102873.98524864,105474.89246,100415.285
25,103118.294707312,165473.0628597045,147533.2720714734,100000.0,100000.0,99384.59,100969.342557336,101791.454477247,100269.373472992,106134.375,99946.39842795061,100000.0,100000.0,98985.57,103221.0446752,106237.07246,100696.905
26,102566.781007088,177811.8290025195,158532.8212773594,100000.0,100000.0,99384.59,101358.381511056,100544.908145582,100328.351375872,105419.21,99289.20569069007,100000.0,100000.0,99231.855,102669.46808656,106347.50246,100359.125
27,103327.332229872,173202.2522170905,154423.5557249718,100000.0,100000.0,99384.59,101454.757287576,101110.414530191,100375.533698176,106078.71,98841.95256489894,100000.0,100000.0,99438.95,103437.9568168,107516.25245999999,100912.105
28,103502.690177136,184889.1590165115,164841.9966709242,100000.0,100000.0,99384.59,101753.388926016,101809.696618686,100328.351375872,106910.585,98936.3703467227,100000.0,100000.0,99360.77,103617.68401984,106298.54246000001,101040.185
29,104164.682532464,207032.97611621124,184582.38261997807,100000.0,100000.0,99384.59,101759.157977616,102508.978707181,100281.169053568,106128.397,99438.92535399873,100000.0,100000.0,100392.915,104287.01291392,106284.06746,101406.845
30,104050.523806576,208511.2999842655,185900.2531380418,100000.0,100000.0,99384.59,101859.097997104,102776.530114953,100304.76021472,104880.7474,99651.90258449034,100000.0,100000.0,100554.23,104175.45809824,106928.17746,101364.485
31,104213.561895408,208336.69480299923,185744.5991398453,100000.0,100000.0,99384.59,101809.6784044,102381.283717108,100346.044746736,103587.184,99334.75943058201,100000.0,100000.0,100665.5,104342.79032176,108110.84246,101506.025
32,103942.324974512,220124.48459604077,196252.97350697793,100000.0,100000.0,99384.59,102109.155852592,102162.37801984,100387.329278752,104914.16,99056.25496043514,100000.0,100000.0,100429.58,104073.1995172,108230.37246,101587.655
33,104434.9192764,200863.59304480377,179082.6080170351,100000.0,100000.0,99384.59,101952.385012384,102685.319407758,100399.124859328,106498.21,98648.65155382146,100000.0,100000.0,100447.845,104572.09744288,108534.07746,101716.765
34,104003.524195888,199936.245526523,178255.9123377248,100000.0,100000.0,99384.59,101510.09367216,102934.628674091,100422.71602048,108407.91,98627.07922730525,100000.0,100000.0,100486.725,104141.37190456,107851.86245999999,101718.375
35,102931.496476912,214024.94359713976,190815.46050331352,100000.0,100000.0,99384.59,100101.076668872,101894.826612068,100505.285084512,109677.655,100439.69050779511,100000.0,100000.0,100419.375,103066.1074312,106913.29246,101758.405
36,99521.775620464,206338.4355062855,183963.2256049298,100000.0,100000.0,99384.59,98242.220357504,98836.227564129,100670.423212576,109516.36,99019.21599754943,100000.0,100000.0,100672.27,99638.89559392,107045.13746,101747.095
37,96509.370198448,191380.59164447675,170618.4894928832,100000.0,100000.0,99384.59,98045.852812872,95333.736407841,100776.58343776,108586.465,99280.75798840208,100000.0,100000.0,101054.505,96611.42184616,108029.03246,101747.095
38,96151.894268528,173850.23144534524,170618.4894928832,100000.0,100000.0,99384.59,96186.713776824,94233.127207688,100847.356921216,109036.7,100054.147978142,100000.0,100000.0,101262.885,96255.06618496,108947.61746,101747.095
39,91839.743781936,179197.03010723175,170618.4894928832,100000.0,100000.0,99384.59,94739.590651824,90925.218893416,100965.312726976,108584.795,100399.99614651331,100000.0,100000.0,101150.965,91919.92209784,108163.97245999999,101747.095
40,91451.468205936,168903.0846428015,170618.4894928832,100000.0,100000.0,99384.59,97584.427014703,89265.184022467,101330.975724832,108209.17,99047.10194669703,100000.0,100000.0,101334.615,91532.57898784,109257.59246,101747.095
41,95399.782798,180368.82487928524,170618.4894928832,100000.0,100000.0,99384.59,97095.332381039,92123.119514577,101289.586475008,108696.26,98012.34938034293,100000.0,100000.0,101659.15,95508.26866888,111039.80746,101747.095
42,92670.73411992,173885.1524815985,170618.4894928832,100000.0,100000.0,99384.59,98850.227168846,90250.259660173,101672.83524928,107658.04,98305.06115726395,100000.0,100000.0,101743.825,92765.87945008,112027.2068305,101747.095
43,96554.369455216,174447.76917678976,170618.4894928832,100000.0,100000.0,99384.59,97438.902191455,92810.240175446,101690.554448128,105396.03,97948.74588798045,100000.0,100000.0,102312.98,96676.49548864,111255.6118305,101747.095
44,93347.926262896,177707.06589375975,170618.4894928832,100000.0,100000.0,99384.59,96678.940870371,89867.174689954,101903.184834304,105847.65,96818.38417156544,100000.0,100000.0,102672.25,93453.80081344,112418.5668305,101747.095
45,91804.663958896,155109.27532276776,170618.4894928832,100000.0,100000.0,99384.59,93965.844464141,88091.606256558,102021.312826624,100780.2,95047.98010644819,100000.0,100000.0,102416.49,91904.42837344,112430.5568305,101747.095
46,84646.626174512,157600.30924216623,170618.4894928832,100000.0,100000.0,99384.59,94871.171698162,79554.284063106,102576.514390528,101594.58,95227.14827324693,100000.0,100000.0,103246.22,84706.0440172,115550.3668305,101747.095
47,86762.723649984,155970.66088368124,170618.4894928832,100000.0,100000.0,99384.59,92445.419780363,82029.134584997,102127.628019712,99597.435,94308.92598729194,100000.0,100000.0,102947.755,89103.16300192,115547.24683050001,101747.095
