,AdaptiveMA2023,Crypto2023,CryptoBB2023,DividendPaydate2023,DynamicBreakout2023,FOMC2023,HedgeVIX2023,LumberGold2023,MultiVar2023,OptionSkewness2023,OvernightMomentum2023,SectorRotation2023,SimpleEMA2023,SMAPairs2023,SPY2023,TScrossSecMom2023,VolatilityRiskPremium2023
0,100000.0,101618.5516533241,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100136.075,100000.0,100000.0,100000.0
1,100000.0,101660.1169243391,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100377.79,100000.0,100000.0,100000.0
2,99857.7176363,105161.15970193256,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100513.55,100139.6323637,99826.18326460564,100000.0
3,100993.70974668,104711.0078168401,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100973.905,98996.3115248,101697.22052715466,100000.0
4,98704.4671705,107943.9545963868,100000.0,100000.0,100000.0,100000.0,100000.0,99997.15,100000.0,100000.0,100000.0,100000.0,100000.0,100773.35,101267.2912733,100607.52019520765,100000.0
5,98732.11690048,110449.92478588116,100000.0,100000.0,100000.0,100000.0,100000.0,100165.640233,100000.0,100000.0,100000.0,100000.0,100000.0,100968.37,101209.8641992,97729.53748636864,100000.0
6,98040.9736264,111746.345588839,100000.0,100000.0,100000.0,100000.0,100000.0,101642.7379423,100000.0,100000.0,100000.0,100000.0,100000.0,101282.05,101919.8716608,97101.67061633365,100000.0
7,96797.80667071,116200.4800308064,100000.0,100000.0,100000.0,100000.0,100000.0,102906.4146898,100000.0,100000.0,100000.0,100000.0,100000.0,101759.27,103209.3705065,95386.17075621765,100000.0
8,96437.29360756,118439.1855276743,100000.0,100000.0,100000.0,100000.0,100533.072286955,104630.6314075,100000.0,100000.0,100000.0,100000.0,100000.0,101428.66,103585.2568097,94599.27742798666,100000.0
9,96060.1390373,131819.46192011295,100000.0,100000.0,100000.0,100000.0,100281.30569058,105315.8250217,100000.0,100000.0,100000.0,100000.0,100000.0,101234.765,103987.2463284,93899.36566594565,101002.195
10,96233.37345302,130874.683309942,100000.0,100000.0,100000.0,100000.0,99927.665039856,105186.6491764,100000.0,100000.0,100000.0,100000.0,100000.0,101610.485,103796.69285525,93202.64074151915,100927.965
11,97740.31002566,126312.4791633356,100000.0,100000.0,100000.0,100000.0,99528.470984206,103490.5141642,100000.0,99576.27,100000.0,100000.0,100000.0,100931.49,102157.41092185,93167.12154612015,99610.685
12,98427.38832674,129652.24868939084,100000.0,100000.0,100000.0,100000.0,100144.348845874,102502.0381306,100000.0,102039.51,100000.0,100000.0,100000.0,100818.6,101413.4692801,94143.99878094465,99041.335
13,96604.32142534,136053.30042570084,100000.0,100000.0,100000.0,100000.0,100771.0597139335,104186.9404606,100000.0,106691.815,100000.0,100000.0,100000.0,100942.475,103303.3420823,91269.75573185265,100648.575
14,95438.94265076,135946.06202648216,100000.0,100000.0,100000.0,100000.0,100877.4056190595,105473.0825725,100000.0,106516.57,100000.0,100000.0,100000.0,101023.825,104543.24481855,88267.48737520166,101589.825
15,95548.92378227,130076.21445374384,100000.0,100000.0,100000.0,100000.0,100927.657990688,105248.4289285,100000.0,106580.55,100000.0,100000.0,100000.0,100887.68,104431.0009919,88921.08623235364,101569.895
16,95510.90505622,134768.5178986272,100000.0,100000.0,100000.0,100000.0,101436.6299575735,105540.4786657,100000.0,107074.375,100000.0,100000.0,100000.0,101027.655,104470.15581515,88753.44361686765,101632.545
17,94463.97242542,133821.6610249055,100000.0,100000.0,100000.0,100000.0,101789.147320998,106163.8925278,100000.0,109302.51,100000.0,100000.0,100000.0,101001.64,105618.69729715,86550.79592094765,102400.945
18,94250.76209661,137459.03789142816,100000.0,100000.0,100000.0,100000.0,100815.753816472,106736.75932,100000.0,106889.59,100000.0,100000.0,100000.0,101198.825,105861.4572013,83375.13692228466,102593.375
19,95431.65593009,130919.5738026382,100000.0,100000.0,100000.0,100000.0,101498.278698168,105254.0452696,100000.0,107763.17,100000.0,100000.0,100000.0,101229.0,104532.80353235,85626.33151395965,101716.785
20,94033.44827001,132499.8854066285,100000.0,100000.0,100000.0,100000.0,102883.779633098,107803.864129,100000.0,107447.03,100000.0,100000.0,100000.0,101236.835,106070.2829253,84421.17687780064,102724.175
21,93044.08606628,137221.28454122235,100000.0,100000.0,100000.0,100000.0,103440.238236766,109494.3828001,100000.0,108286.545,100000.0,100000.0,100000.0,101911.45,107197.9418349,80614.66418966065,103439.495
22,92552.73471159,137324.36641333957,100000.0,100000.0,100000.0,100000.0,102472.874645392,111645.4414414,99932.6367586,110002.97,100956.048028621,100000.0,100000.0,102353.32,108758.9141218,74058.70595709982,104072.475
23,91547.49551965,136176.33362790523,100000.0,100000.0,100000.0,100000.0,101799.432079626,110898.4680751,99566.2573102,111033.45,99886.615063083,100000.0,100000.0,102082.125,107602.54167515,76335.15547279484,103666.545
24,90989.22747869,134944.7546477308,100000.0,100000.0,99904.17658,100000.0,102572.411361379,109297.8108616,99285.36639976,108490.96,98960.736777219,100000.0,100000.0,102766.86,106944.74064455,77144.87396374984,103484.025
25,89420.40053789,139647.86506307803,100000.0,100000.0,99593.89122,100000.0,101964.9303835075,110106.56398,99334.21699288,110071.745,98276.738135802,100000.0,100000.0,102842.18,108343.87299535,76176.53876554583,104113.385
26,89318.40730279,137935.37589726003,100000.0,100000.0,99203.5456,100000.0,101278.503746645,108500.2904254,99370.85493772,112224.355,96966.258092553,100000.0,100000.0,103380.375,107158.78701165,77956.18608756283,103713.845
27,88537.17914903,129209.99420579124,100000.0,100000.0,99778.48612,100000.0,101253.891403411,106933.3312585,99297.57904804,113667.295,98528.128143314,100000.0,100000.0,103231.585,106229.51253985,78925.21750656384,103210.285
28,87791.67777483,126682.82572807925,100000.0,100000.0,99088.22564,100000.0,101994.512079885,107146.7522203,99248.72845492,112183.23,99061.868767371,100000.0,100000.0,103455.98,106477.4930871,81407.09599109984,103514.735
29,86763.76445919,125937.5604187803,100000.0,100000.0,98735.62864,100000.0,101973.5602270435,108432.8943322,99273.15375148,112063.36,99541.666823164,100000.0,100000.0,104442.94,107727.83710955,80875.54519377982,104100.025
30,87372.71050945,130119.8579883096,100000.0,100000.0,100008.2964,100000.0,101795.5958974885,108382.3472623,99065.53873072,112918.74,98397.933481647,100000.0,100000.0,104473.49,107678.2410001,79604.75594950085,104243.335
31,87657.49917401,139947.96631980635,100000.0,100000.0,100079.64544,100000.0,101039.0665285765,109477.5337768,99077.751379,112738.08,99702.4089211952,100000.0,100000.0,104450.79,108028.0240878,78372.76382773033,104381.675
32,86453.82323941,136874.2145282471,100000.0,100000.0,99802.54568,100000.0,100772.3183119265,108432.8943322,99089.96402728,111287.16,100261.3021491722,100000.0,100000.0,104721.14,106540.1408043,79492.40643632783,104053.975
33,85756.05717201,142343.78854111096,100000.0,100000.0,99286.09478,100000.0,99367.190240749,108730.5604105,99175.45256524,113136.98,100812.4475844082,100000.0,100000.0,104659.795,106273.8880062,80201.02946221683,104090.955
34,87476.11867827,138696.85166225483,100000.0,100000.0,99882.19112,100000.0,99088.6542591365,105529.2459835,98980.05019276,113140.08,100470.0993694632,100000.0,100000.0,104762.57,104141.25529985,81577.44734091983,103877.285
35,87596.84549706,137302.3368197016,100000.0,100000.0,100040.23754,100000.0,99756.3496333575,105815.6793796,99028.90078588,108002.17,99571.5537387542,100000.0,100000.0,104707.0,103997.6876146,81133.26249364782,103877.285
36,87133.78561511,137937.03850810064,100000.0,100000.0,100650.02294,100000.0,98717.786343556,106568.269087,99089.96402728,107129.785,100637.7676508957,100000.0,100000.0,104858.37,104551.0757832,80426.69722024082,103877.285
37,88069.30161857,137168.91229974345,100000.0,100000.0,99705.06298,100000.0,99062.3461992915,105574.1767123,98882.34900652,106568.705,99551.5438140412,100000.0,100000.0,104957.8,103433.8581598,81382.00207847483,103877.285
38,87783.11803501,136493.06099303957,100000.0,100000.0,99734.93002,100000.0,99074.697416796,105944.8552249,98967.83754448,106739.885,98764.2377020732,100000.0,100000.0,104785.5,103786.25156905,80776.82151626484,103877.285
39,88105.22772557,134194.9171586202,100000.0,100000.0,100053.9266,100000.0,98491.9579038475,105950.471566,98943.41224792,106100.78,98414.4438196392,100000.0,100000.0,104498.055,103402.5343012,80040.59676127184,103877.285
40,88439.0640877,139149.08181089803,100000.0,100000.0,100658.73416,100000.0,98771.9810151055,106085.2637524,98762.65444972,104792.18,102416.5735703032,100000.0,100000.0,104534.345,103005.7654256,80965.42368996784,103877.285
41,87751.36819948,137707.1825593877,100000.0,100000.0,99813.331,100000.0,99915.272254481,106337.9991019,98786.635276555,105924.56,102072.9451172222,100000.0,100000.0,104948.11,103807.13414145,80970.00684191403,103877.285
42,86342.51449375,130803.60669650637,100000.0,100000.0,99810.01244,100000.0,100009.40274637,107815.0968112,98847.67544167,106944.085,101826.5436456192,100000.0,100000.0,105171.145,105472.51929035,79910.88702483254,103877.285
43,86274.60834258,130887.9841966668,100000.0,100000.0,99810.01244,100000.0,99111.159491476,106242.5213032,98798.843309578,107154.055,101471.6292787622,100000.0,100000.0,105444.46,105545.60829375,80334.08267487303,103877.285
44,87591.59650098,130540.4985309814,100000.0,100000.0,99810.01244,100000.0,99143.793375269,105012.5426023,98591.306748187,107130.41,102052.7990652277,100000.0,100000.0,105344.385,103927.20893275,80410.06110811203,103877.285
45,87447.73991784,128088.1475410964,100000.0,100000.0,99810.01244,100000.0,98429.0533750285,105063.0896722,98542.474616095,106324.23,101228.2999287367,100000.0,100000.0,105136.255,104096.8798335,80185.52319484703,103877.285
46,89054.97523368,120211.5286837539,100000.0,100000.0,99810.01244,100000.0,98026.192161797,102148.2086413,98859.883474693,105411.07,101451.9687759387,100000.0,100000.0,105402.475,102175.6831727,81115.70575072104,103877.285
47,90328.34489922,133073.07049392536,100000.0,100000.0,99810.01244,100000.0,98795.164432523,99210.862246,99397.036927705,106669.43,101561.9572667912,100000.0,100000.0,105980.62,100700.85149695,81342.53717204103,103877.285
48,90426.96531645,140528.21750317575,100000.0,100000.0,99810.01244,100000.0,98976.272201342,97598.9723503,100385.887602568,107185.76,101373.6496145882,100000.0,100000.0,106558.755,100557.2838117,80827.65986152404,103877.285
49,88937.50990482,142452.2738984601,100000.0,100000.0,99810.01244,100000.0,99155.24708877,99401.8178434,100007.438578855,105951.805,101051.6474399842,100000.0,100000.0,106399.89,102220.05863905,79362.30309347303,103877.285
50,89534.16497325,138447.0443834547,100000.0,100000.0,99810.01244,100000.0,100002.752246776,97767.4625833,100593.424163959,106565.835,101111.1669814147,100000.0,100000.0,106615.94,101580.5298593,77616.05068012203,103877.285
51,87963.90384492,140150.80484235956,100000.0,100000.0,99810.01244,100000.0,99854.693664782,99098.535424,100190.5590742,105730.705,101000.2036807137,100000.0,100000.0,106615.235,103363.37947795,75723.41148961104,103877.285
52,88995.258327592,149212.86522904984,100000.0,100000.0,99810.01244,100000.0,100219.390056334,96430.7734015,100691.088428143,105804.555,100147.7438181067,100000.0,100000.0,106584.425,102154.438390615,75649.94017744003,103047.15
53,88144.846476248,145312.7958497124,100000.0,100000.0,99810.01244,100000.0,100691.252296114,97677.6011257,100569.008097913,109330.395,98943.5827707937,100000.0,100000.0,106793.945,103137.04537249,76550.83527114104,104010.9
54,86974.764708003,151038.41193202863,100000.0,100000.0,99810.01244,100000.0,100651.71779577,99474.8302777,100190.5590742,106260.82,98347.9136757097,100000.0,100000.0,106840.315,104491.732864835,75058.45927658053,105128.27
55,88446.292030977,145295.3384358861,100000.0,100000.0,99810.01244,100000.0,100604.770187096,96661.0433866,100654.464329074,103821.175,97639.1002542477,100000.0,100000.0,106823.885,102709.938871035,75565.79798596604,103793.47
56,88229.159086131,151790.74333740017,100000.0,100000.0,99810.01244,100000.0,100863.897131298,96233.0050102,100947.457121626,103694.425,97261.2762065897,100000.0,100000.0,106858.5,102987.689111245,74617.76793501103,104064.13
57,87647.796150277,148336.66931605365,100000.0,100000.0,99810.01244,100000.0,100637.951998166,97101.11128924,100996.289253718,107378.51,96752.7300436837,100000.0,100000.0,107068.26,103663.722714775,75009.97776883004,104674.51
58,87472.805078847,143366.7098607901,100000.0,100000.0,99810.01244,100000.0,100363.889407032,98177.7885574,100569.008097913,107721.3,97064.1061851477,100000.0,100000.0,107068.26,103857.623825865,76187.61399728902,104998.65
