,ActiveCollar2007,AdaptiveMA2007,CryptoBB2007,DividendPaydate2007,DynamicBreakout2007,FOMC2007,HedgeVIX2007,LumberGold2007,MultiVar2007,OptionSkewness2007,OvernightMomentum2007,SectorRotation2007,SimpleEMA2007,SPY2007,TScrossSecMom2007,VolatilityRiskPremium2007
28,100000.0,99746.073187504,100000.0,100000.0,100000.0,100000.0,100000.0,101995.704736144,100054.49857309,100000.0,100424.02066553103,100000.0,100000.0,101539.048623596,102003.0166813796,102015.195
29,100000.0,98982.354539992,100000.0,100000.0,100000.0,100000.0,100000.0,102822.542104384,100054.49857309,100000.0,100332.72036533746,100000.0,100000.0,102307.495449952,102192.55548790883,102324.285
30,100000.0,99345.137379172,100000.0,100000.0,100000.0,100000.0,100000.0,102962.46842824,100279.475436214,100000.0,99822.74737101646,100000.0,100000.0,103104.142159844,102447.58402263487,102451.415
31,100000.0,99465.365321524,100000.0,100000.0,100000.0,100000.0,100000.0,103153.27705168,100329.470294686,100000.0,99252.09228306705,100000.0,100000.0,103238.09160664,102231.53649597509,102444.605
32,100000.0,99353.484314404,100000.0,100000.0,100000.0,100000.0,100000.0,103522.173723664,100329.470294686,100000.0,99304.61286064301,100000.0,100000.0,103132.34204338,102344.38357239644,102458.455
33,100000.0,99630.72713434,100000.0,100000.0,100000.0,100000.0,100000.0,104577.981440032,100341.969009304,100000.0,98583.57271182342,100000.0,100000.0,103428.440820508,103045.17634505828,102457.335
34,100000.0,99477.885724372,100000.0,100000.0,100000.0,100000.0,100000.0,104641.584314512,100404.462582394,100000.0,98693.00035382799,100000.0,100000.0,103280.391431944,102831.0259153667,102457.335
35,100000.0,99427.445321524,100000.0,100000.0,100000.0,100000.0,100000.0,105023.201561392,100341.969009304,100000.0,98584.6828261225,100000.0,100000.0,103238.09160664,102075.05946701762,102457.335
36,100000.0,99601.241357332,100000.0,100000.0,100000.0,100000.0,100000.0,104616.14316472,100454.457440866,100000.0,98126.63883656175,100000.0,100000.0,102906.742975092,101799.84959749317,102457.335
37,100000.0,99695.977663452,100000.0,100000.0,100000.0,100000.0,100000.0,104272.687642528,100504.452299338,100000.0,97849.07889581035,100000.0,100000.0,102800.993411832,101559.07933189007,102457.335
38,100000.0,103246.967800536,100000.0,100000.0,100000.0,100000.0,100000.0,100036.73620216,100766.925306316,100000.0,97455.37166955382,100000.0,100000.0,99127.958581268,100249.2987905384,102457.335
